event_type_id,name,date,contact_email,phone,website,location,street,city,state,zip,number_of_participants,online_registration_link,ContactFirstName,ContactLastName,ContactTitle,CompanyName,BillingAddress,BillingCity,BillingState,BillingZip,notes,results_url,course_map_url
,Barefoot Triathlon,9/1/2013,info@3disciplines.com,2315462229 ,,"Traverse City, MI",,,,,,,,,,,,,,,,,
,2013 Sugar River Sprint Triathlon,9/1/2013,raceday@racedayeventsllc.com,6083165755 ,,"Belleville, WI",,,,,,,,,,,,,,,,,
,Oak Brook Half-Marathon,9/2/2013,info@oakbrookhalfmarathon.com,7083864660 ,,"Oak Brook, IL",,,,,,,,,,,,,,,,,
,Fling Mile,9/2/2013,marciad720@comcast.net,6303197061 ,,"Naperville, IL",,,,,,,,,,,,,,,,,
,Schaumburg Shuffle 5K,9/2/2013,lynnscrim@hotmail.com,8472097844 ,,"Schaumburg, IL",,,,,,,,,,,,,,,,,
,Run Woodstock,9/6/2013,events@runningfit.com,7349299027 ,,"Pinckney, MI",,,,,,,,,,,,,,,,,
,Big Shoulders Open Water Swim Classic,9/7/2013,bigshoulders2012@yahoo.com,6304088884 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,The Chicago Lung Run - 10K/5K,9/7/2013,info@lungrun.org,3126429921 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,CF Cycle For Life,9/7/2013,ethompson@cff.org,3122364491 108,,"Geneva, IL",,,,,,,,,,,,,,,,,
,6th Annual Twilight Run/Walk/Roll & Post-Race Party,9/7/2013,info@glasa.org,8472830908 ,,"Lake Forest , IL",,,,,,,,,,,,,,,,,
,Bike for the Arts (BART) 3rd annual ride,9/7/2013,info@bikeforthearts.com,8159722938 ,,"Rockford, IL",,,,,,,,,,,,,,,,,
,Shorewood Scoot,9/7/2013,richard.matula@provena.org,8157259438 ,,"Shorewood, IL",,,,,,,,,,,,,,,,,
,Cal's Angels 5k,9/7/2013,t_kdavis@yahoo.com,3123753860 ,,"South Elgin, IL",,,,,,,,,,,,,,,,,
,3 Disciplines Festival of Races - Tawas,9/7/2013,info@3disciplines.com,2315462229 ,,"East Tawas, MI",,,,,,,,,,,,,,,,,
,Carol Stream Park District Fall Fitness 5k,9/8/2013,dannyt@csparks.org,6307846100 ,,"Carol Stream, IL",,,,,,,,,,,,,,,,,
,Sub5 Century Challenge,9/8/2013,info@sub5century.org,7083698190 ,,"Hampshire, IL",,,,,,,,,,,,,,,,,
,Ryan's Run 2013,9/8/2013,frederick@ryanbrierefoundation.org,8474147548 ,,"Vernon Hills, IL",,,,,,,,,,,,,,,,,
,Bigfoot 5k,9/8/2013,stofko121@yahoo.com, ,,"Westville, IN",,,,,,,,,,,,,,,,,
,Hartman Creek Trail Run,9/8/2013,info@greatlakesendurance.com,7157010360 ,,"Waupaca, WI",,,,,,,,,,,,,,,,,
,44th Annual Harmon Hundred,9/8/2013,jbeemster@aol.com,8472152314 ,,"Wilmot, WI",,,,,,,,,,,,,,,,,
,CAMBA Fat Tire Tour,9/13/2013,camba@cheqnet.net,717983599 ,,"Cable, WI",,,,,,,,,,,,,,,,,
,Greater West Suburban Run for Recovery,9/14/2013,breakingfree@breakingfreeinc.org,6308971003 ,,"Aurora, IL",,,,,,,,,,,,,,,,,
,Fever River Adventure Triathlon,9/14/2013,feverriver@sbcglobal.net, ,,"Galena, IL",,,,,,,,,,,,,,,,,
,Community Bank Makin' Tracks 5K,9/14/2013,kstille@rfparks.com,7083666660 10,,"River Forest, IL",,,,,,,,,,,,,,,,,
,2 Rivers On 2 Wheels,9/14/2013,stacy.lods@casscountyymca.org,5747535141 ,,"Logansport, IN",,,,,,,,,,,,,,,,,
,Chequamegon Fat Tire Festival,9/14/2013,cheqfat@lifetimefitness.com,7157983594 ,,"Cable & Hayward, WI",,,,,,,,,,,,,,,,,
,TriRock Lake Geneva,9/14/2013,trirock@competitorgroup.com,8003111255 ,,"Geneva Lake, WI",,,,,,,,,,,,,,,,,
,Tri Smart 101: Ride to Support Breast Cancer Research,9/15/2013,trismart101@trismartcoaching.com,9787476278 ,,"New Lenox, IL",,,,,,,,,,,,,,,,,
,Bucktown 5k,9/15/2013,info@ramracing.org, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,SEA Blue Prostate Cancer 1M Walk & 5K Run,9/15/2013,seabluewalkinfo@ustoo.org,6307951002 ,,"Lincoln Park, Chicago, IL",,,,,,,,,,,,,,,,,
,Naperville Trails Half Marathon,9/15/2013,info@allcommunityevents.com, ,,"Naperville, IL",,,,,,,,,,,,,,,,,
,D211 Fun'D' 5K Run/Walk,9/15/2013,lczepiel.ad@comcast.net,8473476239 ,,"Palatine, IL",,,,,,,,,,,,,,,,,
,September Escapade TRIRI (Touring Ride in Rural Indiana),9/15/2013,triri@triri.org,8123338176 ,,"Bloomington, IN",,,,,,,,,,,,,,,,,
,3 Disciplines - Michigan's Triathlon and Duathlon Championship,9/15/2013,info@3disciplines.com,2315462229 ,,"Detroit, MI",,,,,,,,,,,,,,,,,
,2013 Devil's Challenge Sprint Triathlon,9/15/2013,raceday@racedayeventsllc.com,6083165755 ,,"Baraboo, WI",,,,,,,,,,,,,,,,,
,InStep Trail Races,9/15/2013,russell.delap@cuw.edu,2622434323 ,,"Delafield, WI",,,,,,,,,,,,,,,,,
,Dousman Duathlon,9/15/2013,info@midwestsportsevents.com,8004298044 ,,"Dousman, WI",,,,,,,,,,,,,,,,,
,Harvest Moon 5K,9/18/2013,kenosharunningclub@yahoo.com,2625158700 ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,Salus Schlitz Park Corporate Challenge,9/19/2013,katie@answertowellness.com,2626463993 ,,"Milwaukee, WI",,,,,,,,,,,,,,,,,
,Guardian Kids Fun Run,9/20/2013,info@foxcitiesmarathon.org,8772307223 ,,"Appleton, WI",,,,,,,,,,,,,,,,,
,20 Miler,9/21/2013,jcain@mychicagoathlete.com,8476750200 210,,"Elk Grove Village, IL",,,,,,,,,,,,,,,,,
,Run for Science!,9/21/2013,info@naturemuseum.org,7737555108 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Oak Run Triathlon,9/21/2013,Trimomevents@frontier.com,3098272272 ,,"Dahinda, IL",,,,,,,,,,,,,,,,,
,Run the Shores at Lake Barrington 5K and 1 Mile Run/Walk,9/21/2013,lpeterson@lakebarrington.org,8473816010 ,,"Lake Barrington, IL",,,,,,,,,,,,,,,,,
,Run for the Mind (Mental Health),9/21/2013,m.sukis@namidupage.org,6307520066 217,,"Wheaton, IL",,,,,,,,,,,,,,,,,
,Dances With Dirt Hell,9/21/2013,events@runningfit.com,7349299027 ,,"Hell, MI",,,,,,,,,,,,,,,,,
,3 Disciplines - South Beach Triathlon,9/21/2013,info@3disciplines.com,2315462229 ,,"South Haven, MI",,,,,,,,,,,,,,,,,
,Affinity Medical Group Orthopaedics & Sports Medicine 5K Run/Walk,9/21/2013,info@foxcitiesmarathon.org,8772307223 ,,"Neenah, WI",,,,,,,,,,,,,,,,,
,Lil' Mudder,9/21/2013,fitness@plprairie.com,2629256742 ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,Mud Run JR,9/21/2013,fitness@plprairie.com,2629256742 ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,Pleasant Prairie Mud Run,9/21/2013,fitness@plprairie.com,2629256742 ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,Zoo Run Run for the Conseration Fund,9/22/2013,marketingteam@czs.org,7086888000 ,,"Brookfield, IL",,,,,,,,,,,,,,,,,
,North Shore Century,9/22/2013,martin_horn@ameritech.net,8472560847 ,,"Evanston, IL",,,,,,,,,,,,,,,,,
,Run to Read,9/22/2013,TerriMcHugh@sd54.org,8473575028 ,,"Schaumburg, IL",,,,,,,,,,,,,,,,,
,"Advocate Dreyer Fox Valley Marathon, Fall Final 20, Fox Valley Half Marathon",9/22/2013,info@fv26.com,6305493070 ,,"St. Charles, IL",,,,,,,,,,,,,,,,,
,Hospice Hustle 2013,9/22/2013,cdow@hospicecalumet.org,2199222732 ,,"Crown Point, IN",,,,,,,,,,,,,,,,,
,Beyond the Badge,9/22/2013,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Community First Fox Cities Marathon Presented by Kimberly-Clark,9/22/2013,info@foxcitiesmarathon.org,18772307223 ,,"Appleton, WI",,,,,,,,,,,,,,,,,
,Discover Whitewater Series,9/22/2013,info@runwhitewater.com,9203970601 ,,"Whitewater, WI",,,,,,,,,,,,,,,,,
,"Trick or Trot 10k Be a Hero, Run for Kids!",9/28/2013,curediabetes@sbcglobal.net,6304798116 ,,"Geneva, IL",,,,,,,,,,,,,,,,,
,Cornfest 5K and Wellness Walk,9/28/2013,lhall@morrishospital.org,8159422932 7364,,"Morris, IL",,,,,,,,,,,,,,,,,
,Midtown 5K Run and Walk,9/28/2013,robyn.kove@midtown.com,8479914646 ,,"Palatine, IL",,,,,,,,,,,,,,,,,
,Park Ridge Charity Classic,9/28/2013,dave@pickwicktheatre.com,8478455806 ,,"Park Ridge, IL",,,,,,,,,,,,,,,,,
,Ovarian Cancer Run/Walk,9/28/2013,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Holland Hospital Park2Park 1/2 Marathon & 5K,9/28/2013,sherriek@harderwyk.com,6163999190 303,,"Holland, MI",,,,,,,,,,,,,,,,,
,VASA Trail Run,9/28/2013,events@runningfit.com,7349299027 ,,"Traverse City, MI",,,,,,,,,,,,,,,,,
,Brewers Mini-Marathon,9/28/2013,info@visioneventmanagement.com, ,,"Milwaukee, WI",,,,,,,,,,,,,,,,,
,RockMan Challenge,9/28/2013,rockmanchallenge@gmail.com,4147049969 ,,"Watertown, WI",,,,,,,,,,,,,,,,,
,Alpine Races Half Marathon & 5K/ run walk,9/29/2013,Brianfoss@comcast.net,8475671871 ,,"Lake Zurich, IL",,,,,,,,,,,,,,,,,
,2013 Fight For Air Walk - Oak Brook,9/29/2013,events@lungil.org,3127811100 ,,"Oak Brook, IL",,,,,,,,,,,,,,,,,
,Have Fun? You Won! Kids' Triathlon,9/29/2013,kvest@oswegolandpd.org,6305544425 ,,"Oswego , IL",,,,,,,,,,,,,,,,,
,Edward Plainfield Harvest 5K Run/Walk & Kidz Miler,9/29/2013,pacc@plainfieldchamber.com,8154364431 ,,"Plainfield, IL",,,,,,,,,,,,,,,,,
,4th Annual Wabash Heritage Trail Marathon,9/29/2013,info@planetadventurerace.com,3173248299 ,,"Battle Ground, IN",,,,,,,,,,,,,,,,,
,3 Disciplines - Tri the Creek Triathlon,9/29/2013,info@3disciplines.com,2315462229 ,,"North Liberty, IN",,,,,,,,,,,,,,,,,
,Chicago Marathon: Final Tips Seminar,10/1/2013,theroadtoboston@rcn.com,7733070033 ,,"Chicago , IL",,,,,,,,,,,,,,,,,
,3 Disciplines - Last Try,10/5/2013,info@3disciplines.com,2315462229 ,,"Benton, IL",,,,,,,,,,,,,,,,,
,13th Annual Cougar 5K Run/Walk,10/5/2013,quinlan@sxu.edu,7732983592 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Itasca Oktoberfast 5K,10/5/2013,info@itasca5k.org,3126221468 ,,"Itasca, IL",,,,,,,,,,,,,,,,,
,Montgomery 5k River Run/Walk,10/5/2013,stott@ci.montgomery.il.us,6308968080 ,,"Montgomery, IL",,,,,,,,,,,,,,,,,
,St. Charles Knights of Columbus Fall Classic 5K Run/2K Walk,10/5/2013,stevenchill@comcast.net,6302350535 ,,"St. Charles, IL",,,,,,,,,,,,,,,,,
,Wine at the Line,10/5/2013,tuxbro@indy.rr.com,3177333300 ,,"Bargersville, IN",,,,,,,,,,,,,,,,,
,Hit the Bricks,10/5/2013,tuxbro@indy.rr.com,3177333300 ,,"Zionsville, IN",,,,,,,,,,,,,,,,,
,Porcupine Mountains Trail Marathon,10/5/2013,info@greatlakesendurance.com,7157010360 ,,"Silver City, MI",,,,,,,,,,,,,,,,,
,Oakwood Red October Run,10/5/2013,cynthia.cook@oakwood.org,3135865486 ,,"Wayne, MI",,,,,,,,,,,,,,,,,
,Kickapoo Reserve Dam Challenge,10/5/2013,sadie.urban@wisconsin.gov,6086252960 ,,"La Farge, WI",,,,,,,,,,,,,,,,,
,Histio Heroes 5K,10/6/2013,histioheroes@yahoo.com,7733437660 ,,"Batavia, IL",,,,,,,,,,,,,,,,,
,Run & Roll for the Dole Duathlon & 2 Mile Family Fun/Health Walk,10/6/2013,kveugeler@lakesidelegacy.org,8154558000 ,,"Crystal Lake, IL",,,,,,,,,,,,,,,,,
,Embrace the Race...Think Pink Feel Teal,10/6/2013,montygal@sbcglobal.net, ,,"Highland Park, IL",,,,,,,,,,,,,,,,,
,24th Annual Pumpkin Pie Bicycle Ride,10/6/2013,starvedrockcycling@yahoo.com,8158304291 ,,"Ottawa, IL",,,,,,,,,,,,,,,,,
,Pumpkin Pedal Bike Tour to benefit Special Olympics Illinois,10/6/2013,shutchins@soill.org,6303777250 ,,"St Charles, IL",,,,,,,,,,,,,,,,,
,Salamander Sprint Trail Runs 5K/10K,10/6/2013,Info@VeepRaces.com,2604364824 ,,"Fort Wayne, IN",,,,,,,,,,,,,,,,,
,Betsie Valley Run,10/6/2013,bvdlibrary0012@yahoo.com,2313782716 ,,"Thompsonville, MI",,,,,,,,,,,,,,,,,
,Green Bay Duathlon,10/6/2013,info@midwestsportsevents.com,8004298044 ,,"Green Bay, WI",,,,,,,,,,,,,,,,,
,YMCA Stone Bridge Marathon & 5K Races,10/12/2013,MEshleman@StatelineFamilyYMCA.org,8156235858 ,,"Belvidere, IL",,,,,,,,,,,,,,,,,
,Prairie State Marathon & Half Marathon,10/12/2013,info@allcommunityevents.com, ,,"Libertyville, IL",,,,,,,,,,,,,,,,,
,Red Gold Run to Crush Hunger,10/12/2013,tuxbro@indy.rr.com,3177333300 ,,"Elwood, IN",,,,,,,,,,,,,,,,,
,Spotlight on Nursing,10/12/2013,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,20th Annual St. Joe's 5K Run/Walk,10/12/2013,runnedrun@hotmail.com,9204757116 ,,"Menasha, WI",,,,,,,,,,,,,,,,,
,"Southern Kettle Moraine Challenge, Adventure Race",10/12/2013,andygmac61@gmail.com,2623138180 ,,"North Pairie, WI",,,,,,,,,,,,,,,,,
,Harvest Trail Run,10/12/2013,fitness@plprairie.com,2629256742 ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,RecPlex October Indoor/Outdoor Triathlon,10/13/2013,raceinfo@plprairie.com,2629256742 ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,Laps with the Chaps 5K Run/Walk,10/19/2013,cod5k@cod.edu,6309423823 ,,"Glen Ellyn, IL",,,,,,,,,,,,,,,,,
,Des Plaines River Trail Races,10/19/2013,Ekelly32@gmail.com,8474765645 ,,"Lincolnshire, IL",,,,,,,,,,,,,,,,,
,Purdue Boilermaker Half-Marathon and 5K,10/19/2013,tuxbro@indy.rr.com,3177333300 ,,"West Lafayette, IN",,,,,,,,,,,,,,,,,
,This Runs for Jack - celebrating 10 yrs fighting melanoma every step of the way.,10/20/2013,sharon@jacksfund.org,7082055692 ,,"Glen Ellyn, IL",,,,,,,,,,,,,,,,,
,Old Plank Trail Community Bank Pant For The Pantry 5K,10/20/2013,golson@oldplanktrailbank.com,8154850001 ,,"New Lenox, IL",,,,,,,,,,,,,,,,,
,Springfield Clinic Springfield Marathon,10/20/2013,racedirector@springfieldmarathon.net,2175537695 ,,"Springfield, IL",,,,,,,,,,,,,,,,,
,Care4 Breast Cancer 5k Run/Walk,10/20/2013,lannetti@hpclinic.org, ,,"Woodstock, IL",,,,,,,,,,,,,,,,,
,Metro Health Grand Rapids Marathon,10/20/2013,cooladventures@aol.com,6162933145 ,,"Grand Rapids, MI",,,,,,,,,,,,,,,,,
,"Wisconsin Dells Honky Tonk Marathon, Half Marathon and 5K",10/20/2013,events@adrenalinesportsmanagement.com, ,,"wisconsin dells, WI",,,,,,,,,,,,,,,,,
,Fright Night the Run,10/25/2013,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Pumpkins in the Park 5k,10/26/2013,Race@FleetFeetChicago.com,7735613338 2,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Drag Strip Dash,10/26/2013,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Escape the Terror,10/26/2013,info@3disciplines.com,2315462229 ,,"Gaylord, MI",,,,,,,,,,,,,,,,,
,Rockport Trail Runs,10/26/2013,dpaynter2002@yahoo.com,6082895672 ,,"Janesville, WI",,,,,,,,,,,,,,,,,
,Ghostly Gallop 5k Run/Walk and Kids' Monster Mile,10/27/2013,ghostlygallop@me.com,6308052719 ,,"Darien , IL",,,,,,,,,,,,,,,,,
,"Marklund Run, Walk & Roll 5K and 1 Mile Walk",10/27/2013,sarmbruster@marklund.org,6305935473 ,,"Geneva, IL",,,,,,,,,,,,,,,,,
,Sycamore Pumpkin Run 10K Road Race,10/27/2013,rtreml@sycamorechamber.com,8158953456 ,,"Sycamore, IL",,,,,,,,,,,,,,,,,
,Hoboglobin 10k,10/27/2013,stofko121@yahoo.com, ,,"Valparaiso, IN",,,,,,,,,,,,,,,,,
,Cantigny 5K Run/Walk,11/2/2013,bgray@cantigny.org,6302608167 ,,"Wheaton, IL",,,,,,,,,,,,,,,,,
,Hot Cider Hustle 8 Mile Run/Walk,11/2/2013,info@allcommunityevents.com,8473440861 ,,"Wheaton, IL",,,,,,,,,,,,,,,,,
,"Indianapolis Monumental Marathon, Half Marathon & 5K",11/2/2013,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Hot Chocolate 15/5k Chicago,11/3/2013,chicago@hotchocolate15k.com, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Red Eye Run 8k,11/3/2013,dgale@jolietpark.org,8157417275 206,,"Joliet, IL",,,,,,,,,,,,,,,,,
,Chicago's Perfect 10,11/9/2013,dannodo@yahoo.com,3122049900 105,,"Chicago, IL",,,,,,,,,,,,,,,,,
,The Veterans Day 5K 10K,11/9/2013,evilsmileyrunning@gmail.com,2624962724 ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,Naperville Marathon and Half Marathon - Inaugural,11/10/2013,info@naperville26.com, ,,"Naperville, IL",,,,,,,,,,,,,,,,,
,Oswegoland Park District Gobbler Hobbler 10K & Mashed Potato Mile,11/10/2013,kvest@oswegolandpd.org,6305544425 ,,"Oswego, IL",,,,,,,,,,,,,,,,,
,The Chevy CHASE 5K,11/10/2013,mwehby@wheelingparkdistrict.com,8474653333 ,,"Wheeling, IL",,,,,,,,,,,,,,,,,
,Abe's Trail Trek,11/16/2013,triharderpromotions@gmail.com,2173411309 ,,"Lincoln's New Salem State Historic Site, IL",,,,,,,,,,,,,,,,,
,Outback Scramble,11/16/2013,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Village of Orland Hills 20th Annual Turkey Trot,11/23/2013,ohrecdept@yahoo.com,7083497211 ,,"Orland Hills, IL",,,,,,,,,,,,,,,,,
,9th Annual Turkey Trot,11/23/2013,info@clearwateroutdoor.com,2623482420 ,,"Lake Geneva , WI",,,,,,,,,,,,,,,,,
,Run with the Turkeys 5K,11/23/2013,fitness@plprairie.com,2629256742 ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,Turkey Trot,11/24/2013,ksmith@lwd.org,8477454726 ,,"Lincolnwood, IL",,,,,,,,,,,,,,,,,
,Lisle Chamber Turkey Trot Tune-up 5K,11/24/2013,info@lislechamber.com,6309640052 ,,"Lisle, IL",,,,,,,,,,,,,,,,,
,Noodleini 15K/5K Run/Walk,11/24/2013,info@midwestsportsevents.com,8004298044 ,,"DePere, WI",,,,,,,,,,,,,,,,,
,RecPlex Turkey Triathlon,11/24/2013,raceinfo@plprairie.com,2629256742 ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,Evanston Flying Turkey 5K,11/28/2013,jcain@mychicagoathlete.com,8476750200 210,,"Evanston, IL",,,,,,,,,,,,,,,,,
,The Fox and The Turkey,11/28/2013,foxandturkey@foxrivertrailrunners.org, ,,"Batavia, IL",,,,,,,,,,,,,,,,,
,Chicago 8k Turkey Classic,11/28/2013,ryan@universalsole.com, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Edison Park Turkey Trot,11/28/2013,epturkeytrot@gmail.com, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Old St. Pat's 28th Annual Turkey Trot,11/28/2013,theroadtoboston@rcn.com,7733070033 ,,"Chicago , IL",,,,,,,,,,,,,,,,,
,Bonfield Express 5K Run/Walk,11/28/2013,contactus@bonfieldexpress.com,6308529795 ,,"Downers Grove, IL",,,,,,,,,,,,,,,,,
,DAN GIBBONS TURKEY TROT,11/28/2013,bearswin@comcast.net,6304152816 ,,"ELMHURST, IL",,,,,,,,,,,,,,,,,
,North Shore Turkey Trot,11/28/2013,info@ramracing.org, ,,"Highland Park, IL",,,,,,,,,,,,,,,,,
,Long Grove Turkey Trot 5K & 8K Run/Walk & Kids Run,11/28/2013,info@allcommunityevents.com, ,,"Long Grove, IL",,,,,,,,,,,,,,,,,
,Naperville Noon Lions Club 5K Turkey Trot Race,11/28/2013,kms1404@sbcglobal.net,6303556750 ,,"Naperville, IL",,,,,,,,,,,,,,,,,
,The Winnetka Turkey Trot 5K,11/28/2013,montygal@sbcglobal.net, ,,"Winnetka , IL",,,,,,,,,,,,,,,,,
,Galloping Gobbler Thanksgiving Day Runs,11/28/2013,Info@VeepRaces.com,2604364824 ,,"Fort Wayne, IN",,,,,,,,,,,,,,,,,
,Drumstick Dash,11/28/2013,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,15th Annual Turkey Trot,11/28/2013,stacy.lods@casscountyymca.org,5747535141 ,,"Logansport, IN",,,,,,,,,,,,,,,,,
,Mayor's Turkey Day Run,11/28/2013,kenosharunningclub@yahoo.com,2625158700 ,,"Kenosha, WI",,,,,,,,,,,,,,,,,
,Grant Park Turkey Trot 5K,11/30/2013,info@allcommunityevents.com,8473440861 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Schaumburg Half Marathon Turkey Trot & 5K Run/Walk,11/30/2013,info@allcommunityevents.com, ,,"Schaumburg, IL",,,,,,,,,,,,,,,,,
,Santa Hustle 5K,12/7/2013,events@adrenalinesportsmanagement.com,8478294536 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Santa Hustle Chicago,12/7/2013,events@adrenalinesportsmanagement.com,8478294536 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Boston 2014: Getting Started,12/7/2013,theroadtoboston@rcn.com,7733070033 ,,"Lisle, IL",,,,,,,,,,,,,,,,,
,Boston 2014: Kick Off Run,12/7/2013,theroadtoboston@rcn.com,7733070033 ,,"Lisle, IL",,,,,,,,,,,,,,,,,
,Farmland 5K European Style Xc Challenge,12/7/2013,lisamarytaylor@gmail.com,2316312195 ,,"Traverse City , MI",,,,,,,,,,,,,,,,,
,Santa Hustle Milwaukee 2013,12/8/2013,events@adrenalinesportsmanagement.com,8478294536 ,,"Milwaukee, IL",,,,,,,,,,,,,,,,,
,Gingerbread Pursuit 4 Miler,12/14/2013,Info@VeepRaces.com,2604364824 ,,"Fort Wayne, IN",,,,,,,,,,,,,,,,,
,Jingle Bell Run for Arthritis,12/14/2013,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Rudolph Ramble,12/15/2013,Race@FleetFeetChicago.com,7735613338 2,,"Chicago, IL",,,,,,,,,,,,,,,,,
,The HUFF 50K Trail Run & Relay,12/28/2013,Info@VeepRaces.com,2604364824 ,,"Albion, IN",,,,,,,,,,,,,,,,,
,New Year's Eve Run,12/31/2013,meshleman@statelinefamilyymca.org,8156235858 ,,"Roscoe, IL",,,,,,,,,,,,,,,,,
,Nutri-Run 20k & 5 Miler,3/28/2015,ghanishrunner@hotmail.com,2604022514 ,http://www.runrace.net/findarace.php?id=15087IN,Woodside Middle School,2310 W. Hamilton Rd.,Fort Wayne,IN,46814,36,,Casey,Shafer,,,,,,,,,
,Red Warrior 5k & Kids Run,4/25/2015,tbatrouny@skybest.com,3369772206 ,http://www.sacs.k12.in.us/cms/lib07/IN01907860/Centricity/Domain/15/REDWARRIOR_2015%20Registration%20Packet%20030115.pdf,Woodside Middle School,2310 W. Hamilton Rd.,Fort Wayne,IN,46814,,,Teresa,Batrouny,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,
,Swiss Villiage 5k Lauf/Spaziergang (Run/Walk) & Senior 1mi Walk,5/11/2015,swissvillage5k@swissvillage.org,2605894496 ,http://www.adamscounty5kchallenge.com/the-races.html,Arthur & Gloria Muselman Wellness Pavilion,1201 Emmental Dr.,Berne,IN,46711,,,Sarah,Conrad,,,,,,,,,http://www.adamscounty5kchallenge.com/uploads/4/2/6/2/42628189/swiss_village_5k_registration_form.pdf
,"Run Over Violence, Adams Wells Crisis Center 7th Annual 5k",5/25/2015,,2607289800 ,,Adams Memorial Hospital,1100 Mercer Ave,Decatur,IN,46733,,,Angie,Gunsett,,,,,,,,,
,Bearded 5K: Run Your Beard Off,5/9/2015,122warbeard@gmail.com, ,,,,,,,,,Jason,Kochenderfer,,,,,,,Has Contacted us!!!! Talk to Tim,,
,Spring Sprint,5/9/2015,patti.davis@cityoffortwayne.org,2604276000 ,http://www.fortwayneparks.org/,,,,,,,,Pati,Davis,,,,,,,,,
,Fit Walk & Ride,5/16/2015,kkemerer@cmhosp.com,4195425680 ,,,,,,,,,Kim,Kemerer,,,,,,,,,
,Dr. Ken Arnt & Staff 5th Annual 5K Walk/Run,5/16/2015,drkwarnt@gmail.com,2608682221 ,http://drarnt.com/,,,,,,,,Laura,Terlosky,,,,,,,,,
,The Frontier 10 & 5K Run /Walk,5/16/2015,luv4beer99@yahoo.com, ,www.frontier10k.com,,,,,,,,Jon,Beasley,,,,,,,,,
,Nun Run/ Brother Boogie,5/23/2015,azay@sbcglobal.net,2603561588 ,,,,,,,,,Andy,Zay,,,,,,,,,
,Vineyard Trail spring 5K,5/30/2015,kevin@fleetfeetfortwayne.com, ,,,,,,,,,Kevin,Croy,,,,,,,,,
,Celebrate Sound 5K walk 5K/10K timed run,5/30/2015,annis8069@msn.com, ,http://www.mycelebratesound.org/fortwayne,,,,,,,,Rick,Annis,,,,,,,,,
,Canal Days 5K 4 Wellness,6/6/2015,mclendenen@newhavenin.org,2607492212 ,None,,,,,,,,Mike,Clendenen,,,,,,,,,
,Ribfest River Run,6/6/2015,antwerpribfest5k@gmail.com, ,https://www.facebook.com/events/666282680098637/,,,,,,,,Carrie,Reeb,,,,,,,,,
,Color Van Wert 4 Miler,6/6/2015,mawhite@wcoil.com,4192380443 ,http://www.vwymca.org/?page_id=3938,Fountain Park,,Van Wert,OH,,,,Michelle,White,,,"241 W. MAIN ST. VAN WERT, OH 45891",,,,,,http://www.vwymca.org/?page_id=3938
,Norris Insurance Greentown 5 mile,6/13/2015,jrnorris@norrisinsurance.com,7653957761 ,file:///Users/timothyfulton/Desktop/norris_races_201502262015.pdf,Multi location/Multi event,,,,,,,John,Norris,,,"Norris Insurance, P.O. 157 Amboy IN 46911",,,,Multi event/ Multi race discount? Not sure if they have more than 50 people],,None
